iterations,mean_loss,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name
36,4.233760972316003,1696877180,False,37,1faf0_00002,2023-10-09_14-46-20,0.1008901596069336,3.709442138671875,90598,M-Q60T6533T0,127.0.0.1,3.709442138671875,37,
37,4.232851511169514,1696877180,False,38,1faf0_00002,2023-10-09_14-46-20,0.10163402557373047,3.8110761642456055,90598,M-Q60T6533T0,127.0.0.1,3.8110761642456055,38,
38,4.231989763275752,1696877180,False,39,1faf0_00002,2023-10-09_14-46-20,0.10083174705505371,3.911907911300659,90598,M-Q60T6533T0,127.0.0.1,3.911907911300659,39,
39,4.231172069825437,1696877180,False,40,1faf0_00002,2023-10-09_14-46-20,0.10450911521911621,4.016417026519775,90598,M-Q60T6533T0,127.0.0.1,4.016417026519775,40,
40,4.230395136778116,1696877180,False,41,1faf0_00002,2023-10-09_14-46-20,0.10510492324829102,4.121521949768066,90598,M-Q60T6533T0,127.0.0.1,4.121521949768066,41,
41,4.229655990510083,1696877180,False,42,1faf0_00002,2023-10-09_14-46-20,0.10379171371459961,4.225313663482666,90598,M-Q60T6533T0,127.0.0.1,4.225313663482666,42,
42,4.228951939779965,1696877180,False,43,1faf0_00002,2023-10-09_14-46-20,0.10511994361877441,4.33043360710144,90598,M-Q60T6533T0,127.0.0.1,4.33043360710144,43,
43,4.228280542986425,1696877181,False,44,1faf0_00002,2023-10-09_14-46-21,0.10184693336486816,4.432280540466309,90598,M-Q60T6533T0,127.0.0.1,4.432280540466309,44,
44,4.227639579878386,1696877181,False,45,1faf0_00002,2023-10-09_14-46-21,0.10358810424804688,4.5358686447143555,90598,M-Q60T6533T0,127.0.0.1,4.5358686447143555,45,
45,4.227027027027027,1696877181,False,46,1faf0_00002,2023-10-09_14-46-21,0.10504984855651855,4.640918493270874,90598,M-Q60T6533T0,127.0.0.1,4.640918493270874,46,
46,4.22644103648863,1696877181,False,47,1faf0_00002,2023-10-09_14-46-21,0.10144686698913574,4.74236536026001,90598,M-Q60T6533T0,127.0.0.1,4.74236536026001,47,
47,4.225879917184265,1696877181,False,48,1faf0_00002,2023-10-09_14-46-21,0.10514616966247559,4.847511529922485,90598,M-Q60T6533T0,127.0.0.1,4.847511529922485,48,
48,4.225342118601115,1696877181,False,49,1faf0_00002,2023-10-09_14-46-21,0.1051180362701416,4.952629566192627,90598,M-Q60T6533T0,127.0.0.1,4.952629566192627,49,
49,4.224826216484608,1696877181,False,50,1faf0_00002,2023-10-09_14-46-21,0.10511207580566406,5.057741641998291,90598,M-Q60T6533T0,127.0.0.1,5.057741641998291,50,
50,4.224330900243309,1696877181,False,51,1faf0_00002,2023-10-09_14-46-21,0.10295701026916504,5.160698652267456,90598,M-Q60T6533T0,127.0.0.1,5.160698652267456,51,
51,4.223854961832061,1696877182,False,52,1faf0_00002,2023-10-09_14-46-22,0.10365486145019531,5.264353513717651,90598,M-Q60T6533T0,127.0.0.1,5.264353513717651,52,
52,4.223397285914834,1696877182,False,53,1faf0_00002,2023-10-09_14-46-22,0.1036069393157959,5.367960453033447,90598,M-Q60T6533T0,127.0.0.1,5.367960453033447,53,
53,4.222956841138659,1696877182,False,54,1faf0_00002,2023-10-09_14-46-22,0.10153985023498535,5.469500303268433,90598,M-Q60T6533T0,127.0.0.1,5.469500303268433,54,
54,4.2225326723749435,1696877182,False,55,1faf0_00002,2023-10-09_14-46-22,0.10497522354125977,5.574475526809692,90598,M-Q60T6533T0,127.0.0.1,5.574475526809692,55,
55,4.22212389380531,1696877182,False,56,1faf0_00002,2023-10-09_14-46-22,0.10197091102600098,5.676446437835693,90598,M-Q60T6533T0,127.0.0.1,5.676446437835693,56,
56,4.221729682746632,1696877182,False,57,1faf0_00002,2023-10-09_14-46-22,0.1051337718963623,5.781580209732056,90598,M-Q60T6533T0,127.0.0.1,5.781580209732056,57,
57,4.22134927412468,1696877182,False,58,1faf0_00002,2023-10-09_14-46-22,0.1013791561126709,5.882959365844727,90598,M-Q60T6533T0,127.0.0.1,5.882959365844727,58,
58,4.220981955518255,1696877182,False,59,1faf0_00002,2023-10-09_14-46-22,0.10291504859924316,5.98587441444397,90598,M-Q60T6533T0,127.0.0.1,5.98587441444397,59,
59,4.220627062706271,1696877183,False,60,1faf0_00002,2023-10-09_14-46-23,0.10478496551513672,6.0906593799591064,90598,M-Q60T6533T0,127.0.0.1,6.0906593799591064,60,
60,4.220283975659229,1696877183,False,61,1faf0_00002,2023-10-09_14-46-23,0.10255813598632812,6.193217515945435,90598,M-Q60T6533T0,127.0.0.1,6.193217515945435,61,
61,4.219952114924182,1696877183,False,62,1faf0_00002,2023-10-09_14-46-23,0.10274171829223633,6.295959234237671,90598,M-Q60T6533T0,127.0.0.1,6.295959234237671,62,
62,4.219630938358854,1696877183,False,63,1faf0_00002,2023-10-09_14-46-23,0.10225200653076172,6.398211240768433,90598,M-Q60T6533T0,127.0.0.1,6.398211240768433,63,
